Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Martlet Capital,https://martletcap.com/,"Cambridge, GB",UK,"2. Prototype,3. Early Revenue",We invest in IP rich deep technologies in both physical and life sciences,VC,"$200,000","$300,000"
Masawa,https://masawa.fund/,"Rheinsberger Strasse 76/77, 10115 Berlin, Germany","Norway,Sweden,Finland,Denmark,Iceland,Ireland,UK,Estonia,Latvia,Lithuania,Ukraine,Poland,Czech Republic,Germany,Netherlands,Belgium,Luxembourg,Austria,Switzerland,Slovakia,Slovenia,France,Italy,Romania,Moldova,Hungary,Greece,Serbia,Croatia,Spain,Andorra,Liechtenstein,Portugal,Monaco,Turkey,Israel,Palestine,North Macedonia,Montenegro,Bulgaria,Malta,Cyprus,Canada,Mexico,Kenya,Nigeria,Indonesia,China,India","2. Prototype,3. Early Revenue",We invest in founders revolutionizing the mental wellness landscape.,VC,"$50,000","$2,000,000"
Mash VC,https://mash.vc,"180 The Strand, London, UK","USA,Estonia,France,Germany,UK","3. Early Revenue,4. Scaling,5. Growth","We invest in pre-seed and seed insurtech, fintech and marketplace startups, worldwide but with most value-add our side being in Europe and UK. We are founders and operators ourselves, with deep links within financial services and insurance industries, among others.",Family office,"$10,000","$100,000"
MassMutual Ventures,https://www.massmutualventures.com/,"470 Atlantic Avenue, Boston, MA 02110, US","USA,Hong Kong,India,Indonesia,Malaysia,Singapore,Thailand,Vietnam,France,Germany,Italy,Spain,UK,Israel,Australia","3. Early Revenue,4. Scaling,5. Growth","We invest in enterprise software, cybersecurity, financial technology, and digital health companies.",VC,"$500,000","$10,000,000"
Mätch VC,https://www.maetch.vc/,"Stuttgart, Germany",Germany,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early-stage B2B startups that solve highly technical challenges and/or address social issues that fit our network.

Investment philosophy: We believe that the most exciting B2B start-ups are no longer just emerging in major cities such as Berlin, but increasingly in industrial hinterlands. Investment focus: With our first fund (€40 million), we support teams from Europe and invest in the earliest stages, but are open to discussions up to Series A. We are interested in teams that solve highly technical challenges and/or address social issues that fit our network. In it for the long haul.",VC,"$20,000","$1,000,000"
Matchstick Ventures,https://www.matchstickventures.com/,"Boulder CO 80302, United States",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in software startups in the ""seed phase"" that have a connection to the Rockies (CO, UT, MT, AZ, WY, ID, NM) or North (MN, WI, MI, IA, IL, IN, OH) regions of the US.",VC,"$250,000","$1,000,000"
Matr Ventures,https://www.matrventures.com/,"Toronto, Ontario, Canada","Canada,USA","3. Early Revenue,4. Scaling","We invest in Underestimated founders: Black, Indigenous, LatinX, Persons of Colour, Women, 2SLGBTQ & Persons with disabilities in the following industries: 1. Digitization of services & processes (FinTech, Cleantech, Proptech, HealthTech, E-commerce, Etc ...) 2. Future tech (AI, Robotics)",VC,"$250,000","$1,000,000"
Matrix Ventures,https://matrix.capital/,"90, Griva Digeni, CY-3101, Belorient Building, 3rd Floor, Limassol, Cyprus CY","USA,Israel,Spain,Germany,France,Portugal,Netherlands,Belgium,Luxembourg,UK,Italy,Switzerland,Austria,Poland,Denmark,Sweden,Norway,Finland,Armenia,Georgia","3. Early Revenue,4. Scaling","We Invest In all industries except Web3, DeepTech, Healthcare with $0,5M+ ARR and Runway > 8 month ",VC,"$250,000","$500,000"
Matt Goward,,"Boston, MA","USA,Switzerland","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","I invest in companies with at least one technical co-founder. I do not invest in web3 or crypto companies (I am not anti bitcoin, I just don't have a great work knowledge of the space).",Solo angel,"$1,000","$25,000"
Matt McLaughlin,,"Los Angeles, CA",USA,1. Idea or Patent,"I invest in early-stage tech companies, with a particular interest in the deep tech sector. I’m open to learning from founders across diverse industries and refining my thesis as I gain experience and insight into the LA startup ecosystem.",Solo angel,"$10,000","$10,000"
Matt Sutherland,,"British Columbia, Canada","Canada,USA,China,Hong Kong,Japan,Austria,Belgium,Croatia,Denmark,Finland,Germany,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia,Slovakia,Slovenia,Spain,Sweden,UK","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","I invest in life sciences tools, services, and biopharma services companies. 
Stage: commercial and pre-commercial stage companies with proven market need for the company’s products or services. ",Solo angel,"$50,000","$1,000,000"
Matterwave Ventures,https://matterwave.vc,"Liebigstrasse 8, 80538 Munich","Austria,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine,Israel","2. Prototype,3. Early Revenue,4. Scaling","We invest in European early-stage hardware and software companies that shape the future of industrial value creation. We are looking for ground-breaking deep tech – from materials to components to systems to software. Our focus themes include: energy generation, energy storage, industrial decarbonization, frontier tech, quantum computing, sensors, semiconductors, photonics, robotics, IoT, industrial automation, enterprise software.",VC,"$500,000","$4,000,000"
Matthias Hilpert,https://www.matthiashilpert.com/,"Berlin, Germany","Germany,UK,France,Sweden,Spain,Portugal,Poland",3. Early Revenue,"I invest in B2B, SaaS, Marketplaces, 5-10K monthly revenue, headquartered in Europe, Founder teams incl. CTO, Seed & Series A.",Solo angel,"$25,000","$200,000"
Mava Ventures,http://mavavc.com/,"New York, USA",USA,"2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in early-stage (angel, pre-seed, seed) US-based B2B SaaS and B2B FinTech startups.",Family office,"$100,000","$250,000"
Maverick Ventures (Israel),https://www.maverick.vc/,"26 Nachmani, Tel Aviv, Israel",Israel,"3. Early Revenue,4. Scaling",We invest in Israeli founders in companies with early growth traction and initial revenues.,VC,"$1,000,000","$6,000,000"
Maxime Larrat,https://www.integrity-advisory.io/,"Biarritz, France","Côte d'Ivoire,Kenya,Mauritius,Nigeria,Senegal,South Africa,Canada,USA,Belgium,France,Germany,Italy,Luxembourg,Monaco,Spain,Switzerland,UK,Saudi Arabia,UAE","3. Early Revenue,4. Scaling,5. Growth","I invest in Impact, CleanTech and B2B software startups.
I commit up to 100K€ per deal but if needed I syndicate with other BAs or VCs for Equity up to 5M€",Solo angel,"$10,000","$5,000,000"
Maximus Ventures,https://maximus.com/ventures,"1600 Tysons Blvd, McLean, VA 22102",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in Seed to Series C stage startups at the intersection of GovTech and HealthAI — where innovation improves public systems and health outcomes. Our specific thesis areas are: Digital Health: AI decision support, health data interoperability; Citizen-Facing Government Infrastructure; Intelligent Scheduling Systems; Health-Focused Data Privacy & Encryption.",Corporate VC,"$500,000","$2,500,000"
Maxrich Ventures GmbH,https://maxrich-ventures.com,Klosterstraße 73 – 75 D-40211 Düsseldorf,"Germany,Switzerland,Austria","2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in medtech, healthtec, impact",VC,"$1,000,000","$3,000,000"
Mayank Jain,https://thinkuvate.com/,Singapore,"USA,India,Singapore","3. Early Revenue,4. Scaling",I invest in Early Revenue Tech and Tech-Enabled start-up,Solo angel,"$100,000","$500,000"
